date,Mkt_RF,SMB,HML
19630731,-0.0039,-0.0055,-0.0082
19630830,0.0507,-0.0097,0.0163
19630930,-0.0157,-0.0032,0.0019
19631031,0.0253,-0.0054,-0.0011
19631129,-0.0085,-0.011,0.0166
19631231,0.0183,-0.0196,-0.0011
19640131,0.0224,-0.0018,0.0164
19640228,0.0154,0.0009,0.0283
19640331,0.0141,0.0099,0.0336
19640430,0.001,-0.0141,-0.0042
19640528,0.0142,-0.0088,0.0188
19640630,0.0127,-0.003,0.0072
19640731,0.0174,0.0023,0.007
19640831,-0.0144,0.0009,0.0012
19640930,0.0269,-0.0052,0.0165
19641030,0.0059,0.0045,0.0114
19641130,0,0.006,-0.0196
19641231,0.0003,-0.0024,-0.0258
19650129,0.0354,0.0267,0.002
19650226,0.0044,0.0348,0.0019
19650331,-0.0134,0.0179,0.0107
19650430,0.0311,0.0119,0.007
19650528,-0.0077,0.0003,-0.0161
19650630,-0.0551,-0.0435,0.0058
19650730,0.0143,0.0085,0.0222
19650831,0.0273,0.0284,-0.0107
19650930,0.0286,0.0062,-0.0011
19651029,0.026,0.0243,0.016
19651130,-0.0003,0.0468,0.0023
19651231,0.0101,0.0207,0.0208
19660131,0.0072,0.0386,0.0357
19660228,-0.0121,0.0445,0.0036
19660331,-0.0251,0.0095,-0.0205
19660429,0.0214,0.0343,-0.0045
19660531,-0.0566,-0.0465,-0.0165
19660630,-0.0144,0.0106,0.0049
19660729,-0.0163,-0.0032,0.0082
19660831,-0.0791,-0.0332,0.0056
19660930,-0.0106,-0.011,0.005
19661031,0.0386,-0.0659,0.0281
19661130,0.014,0.0433,-0.046
19661230,0.0013,0.0185,-0.0129
19670131,0.0815,0.0843,0.0203
19670228,0.0078,0.0337,-0.0226
19670331,0.0399,0.0174,0.0019
19670428,0.0389,0.0057,-0.0254
19670531,-0.0433,0.02,0.0089
19670630,0.0241,0.06,0.0095
19670731,0.0458,0.0309,0.0265
19670831,-0.0089,0.0048,0.0146
19670929,0.0311,0.0309,-0.0246
19671031,-0.0309,0.0142,-0.0338
19671130,0.0037,0.002,-0.0171
19671229,0.0305,0.0573,-0.0039
19680131,-0.0406,0.039,0.0477
19680229,-0.0375,-0.0296,0.0117
19680329,0.002,-0.0128,-0.0059
19680430,0.0905,0.0573,-0.0102
19680531,0.0228,0.0642,0.0085
19680628,0.0069,-0.0017,0.0068
19680730,-0.0272,-0.0131,0.0548
19680830,0.0134,0.0234,0.0101
19680930,0.0403,0.028,0.0026
19681031,0.0042,-0.0047,0.0291
19681129,0.0543,0.0237,-0.009
19681231,-0.0394,0.0344,0.0002
19690131,-0.0125,-0.0079,0.0169
19690228,-0.0584,-0.0388,0.0092
19690328,0.0264,-0.0026,-0.0045
19690430,0.0146,-0.0086,0.0005
19690529,-0.001,-0.0027,0.0074
19690630,-0.0718,-0.0539,-0.011
19690731,-0.07,-0.0321,0.0142
19690829,0.0468,0.0094,-0.0385
19690930,-0.0298,0.0122,-0.0322
19691031,0.0506,0.038,-0.0322
19691128,-0.0379,-0.0253,-0.0111
19691231,-0.0263,-0.0367,-0.0308
19700130,-0.081,0.0291,0.0307
19700227,0.0513,-0.0239,0.0402
19700331,-0.0106,-0.0232,0.0425
19700430,-0.11,-0.0611,0.064
