date,yfd,rtxlc,market,tbond,rf
20050228,6.11,5.41,9.52,1.4463,0.2025
20050331,1.8,-4.56,-10.57,1.5189,0.2
20050429,4.55,3.16,-3.07,1.6899,0.208333333
20050531,-11.37,-11.6,-6.97,1.2564,0.185833333
20050630,5.03,2.98,1.44,2.121,0.1575
20050729,1.69,2.44,-1.7,2.002,0.114166667
20050831,1.85,2.28,8.07,0.0558,0.094166667
20050930,1.93,1.05,0.46,1.1003,0.091666667
20051031,-1.99,0.13,-4.8,-0.4407,0.100833333
20051130,-2.5,-0.63,0.07,-0.8039,0.131666667
20051231,6.74,9.33,4.39,1.5901,0.133333333
20060125,8.09,8.96,8.78,0.9335,0.123333333
20060228,2.55,1.98,2.89,0.0445,0.143333333
20060331,10.4,7.5,1.45,-0.0154,0.1175
20060428,19.78,13.7,10.01,-0.2243,0.121666667
20060531,17.62,9.54,17.81,0.355,0.1225
20060630,1.14,0.4,4.05,-0.5524,0.1375
20060731,-9.61,-5.53,-5.61,-0.1605,0.160833333
20060831,3.58,4.04,3.76,0.5764,0.1525
20060930,5.85,6.71,4.76,0.8429,0.140833333
20061031,0.91,0.57,2.26,0.454,0.140833333
20061130,21.59,13.97,12.23,-0.009,0.155
20061231,18.64,19.18,14.02,-0.1148,0.158333333
20070131,18.99,13,18.62,0.3474,0.158333333
20070228,-0.84,0.11,10.17,-0.0555,0.154166667
20070331,5.07,8.69,12.13,0.0107,0.158333333
20070430,22.96,21.88,29.18,-0.281,0.1625
20070531,11.66,11.16,10.04,-0.6839,0.165833333
20070630,0.15,-0.62,-8.7,-0.9589,0.18
20070731,17.87,18.05,19.51,0.2628,0.176666667
20070831,16.65,6.83,15.92,0.3822,0.174166667
20070930,4.64,7.38,4.82,-0.3817,0.195
20071031,1.07,0.59,-1.61,0.0646,0.2375
20071130,-15.29,-10.18,-14.54,0.2046,0.220833333
20071231,11.37,6.76,14.78,0.6354,0.208333333
20080131,-9.41,-12.6,-11.39,1.0995,0.235833333
20080229,0.61,0.54,3.29,0.3158,0.2
20080331,-14.53,-13.38,-19.17,0.5852,0.194166667
20080430,-2.46,-0.52,2.06,0.0725,0.195833333
20080530,-3.48,-3.92,-6.97,0.2924,0.220833333
20080630,-15.22,-8.96,-22.85,-0.0907,0.235
20080731,2.48,-2.11,2.91,-0.0106,0.22
20080829,-10.18,-8.18,-17.54,0.5053,0.2125
20080930,-3.96,-2.73,-6.72,2.061,0.225
20081031,-16.16,-10.72,-25.59,2.2601,0.159166667
20081128,9.47,6.06,12.4,0.3657,0.11
20081231,2.76,0.58,1.89,1.5982,0.065833333
20090123,4.02,3.51,12.66,-0.4831,0.065
20090227,3.9,0.63,6.16,0.1077,0.063333333
20090331,8.72,11.29,18.31,0.0943,0.060833333
20090430,3.99,5.99,5.11,0.1488,0.061666667
20090527,4.65,4.46,5.71,0.3401,0.066666667
20090630,10.7,10.72,11.98,-0.1736,0.073333333
20090731,15.45,10.78,16.62,-0.5151,0.095833333
20090831,-22.77,-19.88,-21.61,0.4705,0.081666667
20090930,7.37,5.65,5.29,0.3595,0.096666667
20091030,8.88,8.73,10.12,0.4568,0.089166667
20091130,7.82,4.85,9.68,0.0196,0.088333333
20091231,1.86,-1.98,1.78,0.045,0.0875
20100129,-9.4,-6.97,-7.53,0.1978,0.1
20100226,3.91,2.84,3.94,0.9544,0.100833333
20100331,1.27,-0.22,2.56,0.4695,0.094166667
20100430,-6.25,-4.13,-7.67,0.2622,0.103333333
20100531,-5.28,-1.85,-8.62,0.5727,0.138333333
20100630,-8.79,-7.77,-8.25,0.2225,0.164166667
20100730,10.09,7.37,13.05,0.2578,0.1125
20100831,4.53,5.21,4.73,0.5064,0.13
20100930,1.72,2.46,1.29,0.0434,0.139166667
20101029,8.79,3.97,12.06,-0.2637,0.1275
20101130,0.12,3.19,-3.24,-0.2295,0.19
20101231,-2.47,-4.02,-1.39,0.1777,0.274166667
20110131,-6.76,-6.28,-3.7,0.2629,0.285833333
20110228,7.97,4,7.32,0.3088,0.189166667
20110331,-4,-3.14,-0.92,0.4709,0.154166667
20110429,-0.74,-3.68,-1.98,0.2053,0.1875
20110531,-5.51,-3.85,-6.64,0.366,0.231666667
20110630,2.4,1.75,2.8,0.1699,0.260833333
20110729,-0.19,0.15,-0.35,0.259,0.238333333
20110831,0.11,-2.14,-3.85,0.3856,0.24
20110930,-8.78,-8.13,-10.85,0.3069,0.271666667
20111031,2.04,3.87,4.19,0.3622,0.265833333
20111130,-2.8,-0.12,-5.47,0.4484,0.215833333
20111231,-3.91,-7.39,-10.68,0.4296,0.230833333
20120131,0.7,-2.32,2.61,0.2938,0.206666667
20120229,4.56,6.12,9.26,0.195,0.199166667
20120331,-4.51,-3.7,-6.99,0.3242,0.203333333
20120427,3.54,4.02,6.91,0.265,0.2
20120531,0.9,2.15,1.38,0.3667,0.143333333
20120630,-1.96,-3.4,-5.67,0.3091,0.188333333
20120731,-2.21,-2.58,-6.62,0.3074,0.154166667
20120831,-2.77,-3.87,-2.53,0.2885,0.16
20120930,2.07,3.86,2.68,0.2171,0.2175
20121031,1.11,-0.06,-1.07,0.2915,0.200833333
20121130,-5.24,-4.94,-7.8,0.2086,0.193333333
20121231,10.01,10.33,17.26,0.2303,0.256666667
20130131,6.38,4.54,6.52,0.2452,0.181666667
20130228,2.49,1.54,1.45,0.3416,0.240833333
20130331,0.59,-1.29,-5.12,0.2731,0.206666667
20130426,-2.29,-0.31,-2.1,0.311,0.229166667
20130531,6.82,6.55,10.01,0.1696,0.263333333
20130630,-6.14,-7.45,-14.71,0.3495,0.378333333
20130731,6.8,2.53,3.63,0.1579,0.295
20130830,1.29,1.98,6.52,0.2379,0.301666667
20130930,4.72,5.44,5.17,0.0014,0.328333333
20131031,-3.13,-6.16,-2.67,0.1594,0.330833333
20131129,1.3,2.2,4.98,0.1404,0.3975
20131231,1.5,-2.3,-3.86,0.325,0.395833333
20140130,-1.9,2.23,-1.26,0.0437,0.3325
20140228,-2.32,-1.67,0.76,0.2321,0.26
20140331,-2.87,-6.73,-2.64,0.456,0.259166667
20140430,-0.17,-2.6,-0.63,0.1864,0.2775
20140530,-0.51,1.86,1.39,0.5249,0.22
20140630,2.6,2.26,2.9,0.3356,0.281666667
20140731,4.49,0.76,8.13,0.1986,0.289166667
20140829,0.05,0.66,2.6,0.3134,0.281666667
20140930,4.92,3.01,9.08,0.5983,0.290833333
20141031,-1.28,0.11,1.94,0.6184,0.275
20141128,2.12,8.58,8.28,0.6139,0.268333333
20141231,8.5,10.36,10.59,0.2112,0.298333333
20150130,3.11,3.11,1.67,0.6816,0.265833333
20150227,2.37,5.54,5.91,0.6313,0.271666667
20150331,9.39,15.86,17.56,0.2493,0.299166667
20150430,13.1,18.03,17.55,0.3758,0.203333333
20150529,5.79,8.35,13.66,0.2619,0.158333333
20150630,-1.46,-8.19,-9.66,0.4896,0.166666667
20150731,-14.65,-9.83,-15.17,0.4377,0.15
20150831,-15.72,-11.14,-12.96,0.4099,0.211666667
20150930,2.01,1.01,-4.74,0.4718,0.1875
20151030,13.32,10.02,14.34,0.7677,0.186666667
20151130,6.15,6.76,5.14,0.199,0.180833333
